Product;Type;Release Date;Process Size (nm);TDP (W);Die Size (mm^2);Transistors (million);Freq (MHz);Foundry;Vendor;FP16 GFLOPS;FP32 GFLOPS;FP64 GFLOPS
AMD Radeon R5 M230 Rebrand;GPU;2014-05-31;280;;560;6900;7800;TSMC;AMD;;544.0;34.0
NVIDIA GeForce FX 5900 Ultra;GPU;2003-10-23;1300;590;2070;1350;4500;TSMC;NVIDIA;;;
ATI Mobility Radeon HD 5670 Mac Edition;GPU;2010-04-22;400;150;1040;6270;6500;TSMC;ATI;;520.0;
AMD Radeon HD 7340 IGP;GPU;2012-06-06;400;180;750;4500;5230;TSMC;AMD;;83.68;
AMD Radeon RX 460 Mobile;GPU;2016-08-08;140;550;1230;30000;10000;GF;AMD;2115.0;2115.0;132.2
NVIDIA Quadro 1000M;GPU;2011-01-13;400;450;1160;5850;7000;TSMC;NVIDIA;;268.8;22.4
AMD Radeon Vega 8 Mobile;GPU;2021-01-12;70;450;1560;98000;3000;TSMC;AMD;4096.0;2048.0;128.0
NVIDIA Quadro FX 4400;GPU;2005-07-28;1300;830;2870;2220;3750;TSMC;NVIDIA;;;
ATI Radeon HD 2400 PRO PCI;GPU;2007-06-28;650;200;850;1800;5250;TSMC;ATI;;42.0;
NVIDIA GeForce 6800 GT;GPU;2004-06-08;1300;670;2870;2220;3500;TSMC;NVIDIA;;;
NVIDIA Quadro FX 4400G;GPU;2005-07-28;1300;830;2870;2220;3750;TSMC;NVIDIA;;;
NVIDIA GeForce RTX 2060;GPU;2019-01-07;120;1600;4450;108000;13650;TSMC;NVIDIA;12900.0;6451.0;201.6
ATI Radeon HD 5670 640SP Edition;GPU;2010-07-18;400;640;1660;10400;7500;TSMC;ATI;;960.0;
ATI FirePro V3800;GPU;2010-04-26;400;430;1040;6270;6500;TSMC;ATI;;520.0;
NVIDIA GRID K200;GPU;2013-06-28;280;2250;2940;35400;7450;TSMC;NVIDIA;;2289.0;95.36
Intel Extreme Graphics 2;GPU;2003-12-03;1300;;;;2000;Intel;Intel;;;
AMD Radeon Pro 450;GPU;2016-10-30;140;350;1230;30000;8000;GF;AMD;1024.0;1024.0;64.0
ATI Mobility Radeon HD 2700;GPU;2007-12-12;650;350;1530;3900;7000;TSMC;ATI;;168.0;
ATI Mobility Radeon HD 3850;GPU;2008-06-04;550;350;1920;6660;5800;TSMC;ATI;;371.2;74.24
Intel HD Graphics P4000;GPU;2012-05-14;220;450;1330;12000;6500;Intel;Intel;;320.0;80.0
AMD Radeon Graphics 384SP;GPU;2020-01-06;70;150;1560;98000;4000;TSMC;AMD;2304.0;1152.0;72.0
Intel Iris Pro Graphics 5200;GPU;2013-05-27;220;300;;;2000;Intel;Intel;;768.0;192.0
ATI Radeon HD 5770;GPU;2009-10-13;400;1080;1660;10400;8500;TSMC;ATI;;1360.0;
NVIDIA Quadro FX 3500;GPU;2006-05-22;900;800;1960;2780;4500;TSMC;NVIDIA;;;
AMD Radeon HD 7950 Monica BIOS 1;GPU;2012-01-31;280;1850;3520;43130;9250;TSMC;AMD;;2842.0;710.4
AMD Radeon R7 260;GPU;2013-12-17;280;950;1600;20800;10000;TSMC;AMD;;1536.0;96.0
NVIDIA GeForce GT 120M Mac Edition;GPU;2008-12-12;550;140;1210;3140;5000;TSMC;NVIDIA;;80.0;
ATI Radeon 8500 X4;GPU;NaT;1500;920;1200;600;2500;TSMC;ATI;;;
NVIDIA GeForce GTX 460 v2;GPU;2011-09-24;400;1600;3320;19500;7790;TSMC;NVIDIA;;1046.0;87.19
NVIDIA GeForce 7050 + nForce 620i;GPU;2007-10-04;900;;810;1120;5000;Unknown;NVIDIA;;;
NVIDIA GeForce 840M;GPU;2014-03-12;280;330;;;10290;TSMC;NVIDIA;;863.2;26.98
Intel HD Graphics;GPU;2013-04-29;220;450;;;2000;Intel;Intel;;160.0;40.0
AMD Radeon Pro V520;GPU;2020-12-01;70;2250;;;10000;TSMC;AMD;14750.0;7373.0;460.8
NVIDIA GeForce4 MX 420 PCI;GPU;2002-02-06;1500;;650;290;2500;TSMC;NVIDIA;;;
NVIDIA GeForce 6200 TurboCache;GPU;2004-12-15;1100;;1100;750;3500;TSMC;NVIDIA;;;
AMD FirePro M8900;GPU;2011-04-12;400;750;2120;17000;6800;TSMC;AMD;;1306.0;
AMD Radeon HD 8250 IGP;GPU;2013-05-23;280;80;1100;11780;3000;TSMC;AMD;;102.4;6.4
Intel H3C XG310;GPU;2020-11-11;100;3000;770;;9000;Intel;Intel;4762.0;2381.0;595.2
AMD Radeon HD 6630M Mac Edition;GPU;2011-01-04;400;260;1040;7160;5000;TSMC;AMD;;480.0;
AMD Radeon R9 M275;GPU;2014-01-28;280;;1230;15000;9000;TSMC;AMD;;1184.0;74.0
ATI Mobility Radeon HD 4100 IGP;GPU;2009-11-01;550;;670;1810;4000;Unknown;ATI;;32.0;
NVIDIA Quadro FX 600 PCI;GPU;2004-03-17;1500;;1240;450;2700;TSMC;NVIDIA;;;
ATI Radeon HD 3850;GPU;2007-11-19;550;750;1920;6660;6680;TSMC;ATI;;427.5;85.5
NVIDIA Quadro P400;GPU;2017-02-07;140;300;1320;33000;12280;Samsung;NVIDIA;10.02;641.0;20.03
ATI Radeon 9800;GPU;2003-03-01;1500;370;2150;1170;3250;TSMC;ATI;;;
NVIDIA Quadro 7000;GPU;2012-05-02;400;2040;5200;30000;6510;TSMC;NVIDIA;;1332.0;666.1
ATI All-In-Wonder X800 SE;GPU;2005-04-27;1300;;2810;1600;4250;TSMC;ATI;;;
ATI Radeon HD 2600 XT;GPU;2007-06-28;650;450;1530;3900;8000;TSMC;ATI;;192.0;
Intel HD Graphics 400;GPU;2015-04-01;140;60;;;3200;Intel;Intel;;115.2;28.8
Intel GMA X4500MHD;GPU;2008-09-01;650;130;;;5330;Intel;Intel;;85.28;
ATI Radeon 9200 PRO;GPU;2003-05-01;1500;280;980;360;2400;UMC;ATI;;;
ATI FireMV 2200;GPU;2006-01-01;1100;150;740;1070;3240;TSMC;ATI;;;
ATI Radeon X700 PRO;GPU;2004-09-01;1100;330;1560;1200;4250;TSMC;ATI;;;
ATI Mobility FireGL V3100;GPU;2004-06-01;1100;;740;1070;3500;TSMC;ATI;;;
AMD Radeon HD 6850 X2;GPU;2011-09-19;400;2540;2550;17000;8000;TSMC;AMD;;1536.0;
AMD Radeon HD 7970 GHz Edition;GPU;2012-06-22;280;3000;3520;43130;10000;TSMC;AMD;;4301.0;1075.0
ATI Mobility Radeon X1350;GPU;2006-09-18;800;;1000;1070;4190;UMC;ATI;;;
AMD Radeon E9172 MXM;GPU;2017-10-03;140;350;1030;22000;11240;GF;AMD;1248.0;1248.0;78.02
AMD Radeon HD 8280 IGP;GPU;2013-09-18;280;150;1100;11780;4500;TSMC;AMD;;115.2;7.2
NVIDIA Tesla T4;GPU;2018-09-13;120;700;5450;136000;5850;TSMC;NVIDIA;65129.99999999999;8141.0;254.4
Intel HD Graphics P530;GPU;2015-09-01;140;150;1230;;3500;Intel;Intel;768.0;384.0;96.0
ATI Radeon HD 5670;GPU;2010-01-14;400;640;1040;6270;7750;TSMC;ATI;;620.0;
ATI Radeon 9700 PRO X4;GPU;2002-07-01;1500;;2150;1100;3250;TSMC;ATI;;;
ATI Radeon X800 XT Platinum AGP;GPU;2004-05-01;1300;630;2810;1600;5200;TSMC;ATI;;;
ATI Radeon X600 PRO;GPU;2004-09-01;1100;360;740;1070;4000;TSMC;ATI;;;
NVIDIA Quadro K4200;GPU;2014-07-22;280;1080;2940;35400;7710;TSMC;NVIDIA;;2107.0;87.81
NVIDIA GeForce FX 5200 Rev. 2;GPU;2003-03-06;1500;;910;450;2500;TSMC;NVIDIA;;;
AMD Radeon HD 7370M;GPU;2012-01-07;400;110;590;2920;7500;TSMC;AMD;;120.0;
NVIDIA GeForce 6800;GPU;2004-04-14;1300;;2870;2220;3250;TSMC;NVIDIA;;;
NVIDIA GeForce Go 7400T;GPU;2006-02-01;900;;810;1120;4500;TSMC;NVIDIA;;;
ATI Radeon HD 5970;GPU;2009-11-18;400;2940;3340;21540;7250;TSMC;ATI;;2320.0;464.0
NVIDIA GeForce FX 5950 Ultra;GPU;2003-10-23;1300;740;2070;1350;4750;TSMC;NVIDIA;;;
AMD Radeon R5 240 OEM;GPU;2013-11-01;280;500;770;9500;7300;TSMC;AMD;;599.0;37.44
NVIDIA Quadro FX 470;GPU;2007-09-12;650;380;1440;3140;5800;Unknown;NVIDIA;;44.8;
NVIDIA GeForce GTX 750 Ti;GPU;2014-02-18;280;600;1480;18700;10200;TSMC;NVIDIA;;1389.0;43.4
NVIDIA Tesla P100 PCIe 12 GB;GPU;2016-06-20;160;2500;6100;153000;11900;TSMC;NVIDIA;19050.0;9526.0;4763.0
NVIDIA GeForce GTX 950A;GPU;2015-03-13;280;750;1480;18700;9930;TSMC;NVIDIA;;1439.0;44.96
AMD Radeon R2 Mobile Graphics;GPU;2016-06-01;280;150;1250;12000;2000;GF;AMD;153.6;153.6;9.6
AMD Radeon 540X Mobile;GPU;2018-09-05;140;500;1030;22000;9800;GF;AMD;1071.0;1071.0;66.94
NVIDIA GeForce Go 7800;GPU;2006-03-03;1100;350;3330;3020;4000;TSMC;NVIDIA;;;
Matrox Millennium G450 x2 MMS;GPU;2002-06-19;1800;;;100;1250;UMC;Other;;;
AMD Radeon R8 M365DX;GPU;2015-06-03;280;;1250;15500;9000;TSMC;AMD;864.0;864.0;54.0
AMD Radeon R9 380 OEM;GPU;2015-05-05;280;1900;3660;50000;9180;TSMC;AMD;3290.0;3290.0;205.6
NVIDIA ION LE;GPU;2008-06-03;650;200;1620;2820;4500;Unknown;NVIDIA;;35.2;
AMD Playstation 4 Slim GPU;GPU;2016-09-07;160;750;2090;;8000;TSMC;AMD;1843.0;1843.0;
NVIDIA GeForce 6800 GTO;GPU;2004-04-14;1300;;2870;2220;3500;TSMC;NVIDIA;;;
AMD Radeon HD 6870 1600SP Edition;GPU;2013-01-14;400;1750;3340;21540;8500;TSMC;AMD;;2720.0;544.0
NVIDIA Quadro Plex 1000 Model IV;GPU;2008-07-25;900;3200;4840;6810;6000;TSMC;NVIDIA;;345.6;
NVIDIA GRID K100;GPU;2013-06-28;280;1300;1180;12700;8500;TSMC;NVIDIA;;326.4;13.6
ATI Radeon IGP 340;GPU;2002-10-05;1800;;730;300;1830;Unknown;ATI;;;
ATI Mobility FireGL V5600;GPU;2007-05-14;650;;1530;3900;5000;TSMC;ATI;;120.0;
NVIDIA GeForce GTS 450 OEM;GPU;2010-09-13;400;1060;2380;11700;7830;TSMC;NVIDIA;;451.0;37.58
NVIDIA A100 SXM4 80 GB;GPU;2020-11-16;70;4000;8260;542000;10950;TSMC;NVIDIA;77970.0;19490.0;9746.0
ATI Mobility Radeon HD 4330;GPU;2009-01-09;550;;730;2420;4500;TSMC;ATI;;72.0;
AMD Radeon RX 640 Mobile;GPU;2019-05-13;140;500;1030;22000;10820;GF;AMD;1559.0;1559.0;97.44
Sony Playstation Portable GPU 65nm;GPU;2007-08-30;650;40;;;1330;Sony;Other;;;
NVIDIA Quadro FX 350M;GPU;2006-03-13;900;150;810;1120;4500;TSMC;NVIDIA;;;
NVIDIA GeForce 6800 XT;GPU;2005-09-30;1300;;2870;2220;3000;TSMC;NVIDIA;;;
NVIDIA GeForce 9300 GS;GPU;2008-06-01;650;;860;2100;5670;TSMC;NVIDIA;;22.4;
AMD Radeon R9 M295X;GPU;2014-11-23;280;2500;3660;50000;7230;TSMC;AMD;2961.0;2961.0;185.1
NVIDIA Quadro RTX 3000 Mobile Refresh;GPU;2019-05-27;120;800;4450;108000;9450;TSMC;NVIDIA;10600.0;5299.0;165.6
NVIDIA Tesla C2070;GPU;2011-07-25;400;2380;5290;31000;5740;TSMC;NVIDIA;;1028.0;513.9
ATI All-In-Wonder HD 3650;GPU;2008-06-28;550;550;1350;3780;7220;TSMC;ATI;;173.3;
AMD Radeon HD 7990;GPU;2013-04-24;280;3750;3650;43130;9500;TSMC;AMD;;4096.0;1024.0
NVIDIA Quadro RTX 6000 Passive;GPU;2018-08-13;120;2600;7540;186000;13050;TSMC;NVIDIA;28750.0;14380.0;449.3
AMD Radeon RX 560 Mobile;GPU;2017-01-05;140;550;1230;30000;7840;GF;AMD;1849.0;1849.0;115.6
ATI ES1000;GPU;2007-10-18;1800;;800;80;2000;Unknown;ATI;;;
ATI Mobility Radeon HD 5770;GPU;2010-01-07;400;300;1040;6270;6500;TSMC;ATI;;520.0;
Intel Xe Arctic Sound;GPU;2020-01-01;100;5000;1900;80000;9000;Intel;Intel;14750.0;7373.0;1843.0
NVIDIA Quadro RTX 5000;GPU;2018-08-13;120;2300;5450;136000;16200;TSMC;NVIDIA;22300.0;11150.0;348.5
NVIDIA GeForce 830A;GPU;2014-07-22;280;330;;;10820;TSMC;NVIDIA;;588.8;18.4
NVIDIA GeForce GTX 1060 3 GB;GPU;2016-08-18;160;1200;2000;44000;15060;TSMC;NVIDIA;61.49;3935.0;123.0
ATI Radeon X1550 PCI;GPU;2007-01-01;800;270;1000;1070;4520;UMC;ATI;;;
ATI Radeon HD 5870 Mac Edition;GPU;2010-06-30;400;2280;3340;21540;8500;TSMC;ATI;;2720.0;544.0
NVIDIA GeForce 920MX;GPU;2016-03-25;280;160;;;9650;TSMC;NVIDIA;;508.4;15.89
NVIDIA Quadro K6000;GPU;2013-07-23;280;2250;5610;70800;7970;TSMC;NVIDIA;;5196.0;1732.0
NVIDIA GeForce2 MX 200 PCI;GPU;2001-03-03;1800;;640;200;1750;TSMC;NVIDIA;;;
AMD Radeon HD 7470A;GPU;2012-01-05;400;180;1040;6270;7750;TSMC;AMD;;620.0;
AMD Radeon R5 310 OEM;GPU;2015-05-05;400;350;670;3700;7750;TSMC;AMD;;248.0;
NVIDIA GeForce 8400 GS PCI;GPU;2007-12-04;650;250;860;2100;5670;TSMC;NVIDIA;;22.4;
NVIDIA GeForce GTX TITAN X;GPU;2015-03-17;280;2500;6010;80000;10000;TSMC;NVIDIA;;6691.0;209.1
AMD Radeon HD 6430M;GPU;2011-01-04;400;;670;3700;4800;TSMC;AMD;;153.6;
NVIDIA GeForce 9800 GTX+;GPU;2009-01-16;550;1410;2600;7540;7380;TSMC;NVIDIA;;470.0;
NVIDIA Quadro2 MXR;GPU;2000-07-25;1800;;640;200;2000;TSMC;NVIDIA;;;
NVIDIA GeForce 310M;GPU;2010-01-10;400;140;570;2600;6250;TSMC;NVIDIA;;48.96;
NVIDIA GeForce 8600 GTS;GPU;2007-04-17;800;600;1690;2890;6750;TSMC;NVIDIA;;92.8;
NVIDIA GeForce GT 220;GPU;2010-01-26;650;580;2400;5050;6000;TSMC;NVIDIA;;144.0;
Matrox Parhelia HR256;GPU;2001-01-01;1500;;1740;800;2000;UMC;Other;;;
AMD Radeon HD 6490M Mac Edition;GPU;2011-05-02;400;;670;3700;7500;TSMC;AMD;;240.0;
Intel UHD Graphics P750;GPU;2021-01-01;140;150;;;3000;Intel;Intel;921.6;460.8;115.2
NVIDIA GeForce 8400M GT;GPU;2007-05-09;800;140;1270;2100;4500;TSMC;NVIDIA;;28.8;
NVIDIA GeForce GTX 1060 6 GB 9Gbps;GPU;2017-04-20;160;1200;2000;44000;15060;TSMC;NVIDIA;68.36;4375.0;136.7
AMD Radeon R7 450 OEM;GPU;2016-06-30;280;650;1230;15000;9250;TSMC;AMD;;947.2;59.2
ATI Mobility Radeon HD 5470;GPU;2010-01-07;400;150;590;2920;7500;TSMC;ATI;;120.0;
AMD Radeon HD 6610M;GPU;2011-01-04;400;260;1040;7160;4500;TSMC;AMD;;432.0;
NVIDIA GeForce GT 520 OEM;GPU;2012-02-01;400;290;1160;5850;7000;TSMC;NVIDIA;;134.4;11.2
AMD Radeon R9 M395X Mac Edition;GPU;2015-05-05;280;2500;3660;50000;9090;TSMC;AMD;3723.0;3723.0;232.7
AMD Radeon Pro SSG;GPU;2017-08-08;140;2600;4950;125000;14400;GF;AMD;24580.0;12290.0;768.0
NVIDIA GeForce GTX 570M;GPU;2011-06-28;400;750;3320;19500;5750;TSMC;NVIDIA;;772.8;64.4
ATI Radeon HD 3730;GPU;2008-10-05;550;650;1350;3780;7220;TSMC;ATI;;173.3;
NVIDIA P106M;GPU;2019-01-23;160;750;2000;44000;12910;TSMC;NVIDIA;46.48;2974.0;92.95
NVIDIA GeForce G105M;GPU;2009-12-14;400;140;570;2600;5350;TSMC;NVIDIA;;39.36;
NVIDIA GRID RTX T10-16;GPU;NaT;120;2600;7540;186000;10650;TSMC;NVIDIA;25710.0;12860.0;401.8
NVIDIA GeForce GT 640M;GPU;2012-03-22;280;320;1180;12700;6250;TSMC;NVIDIA;;480.0;20.0
ATI Radeon HD 4550;GPU;2008-09-30;550;250;730;2420;6000;TSMC;ATI;;96.0;
NVIDIA GeForce GTX 780M;GPU;2013-05-11;280;1220;2940;35400;7710;TSMC;NVIDIA;;2448.0;102.0
ATI Radeon 8500 LE;GPU;2002-02-04;1500;230;1200;600;2500;TSMC;ATI;;;
AMD Radeon E6760 MXM;GPU;2011-05-02;400;450;1180;7160;6000;TSMC;AMD;;576.0;
AMD FirePro W7100;GPU;2014-08-12;280;1500;3660;50000;9200;TSMC;AMD;3297.0;3297.0;206.1
NVIDIA GeForce 6200;GPU;2004-10-11;1100;;1540;1460;3000;TSMC;NVIDIA;;;
NVIDIA Quadro K3000M;GPU;2012-06-01;280;750;2940;35400;6540;TSMC;NVIDIA;;753.4;31.39
NVIDIA GeForce GTX 660M Mac Edition;GPU;2013-04-01;280;500;1180;12700;9500;TSMC;NVIDIA;;729.6;30.4
NVIDIA GeForce 9600M GT Mac Edition;GPU;2008-10-25;550;230;1210;3140;5000;TSMC;NVIDIA;;80.0;
NVIDIA GeForce GTX 275 PhysX Edition;GPU;2010-02-16;;2190;4700;14000;6330;TSMC;NVIDIA;;622.1;77.76
AMD Radeon 520 Mobile;GPU;2017-04-18;280;500;560;6900;10300;TSMC;AMD;;659.2;41.2
NVIDIA GeForce 710M;GPU;2013-07-24;280;150;870;10200;7190;TSMC;NVIDIA;;276.1;11.5
AMD Radeon HD 8950M;GPU;2013-05-14;280;1000;1600;20800;10750;TSMC;AMD;;1651.0;103.2
ATI Radeon Xpress 1150 Mobile IGP;GPU;2006-05-23;1100;;730;;4000;Unknown;ATI;;;
AMD Radeon R7 M465;GPU;2016-05-15;280;;1250;15500;11000;TSMC;AMD;864.0;864.0;54.0
ATI Radeon X1600 XT;GPU;2007-10-01;900;420;1500;1570;5900;TSMC;ATI;;;
NVIDIA ION HX;GPU;2008-06-03;650;200;1620;2820;4500;Unknown;NVIDIA;;35.2;
AMD Radeon RX 6600 XT;GPU;NaT;70;1800;2360;;14890;TSMC;AMD;20480.0;10240.0;640.0
NVIDIA GeForce 7500 LE;GPU;2006-03-22;900;;810;1120;4750;TSMC;NVIDIA;;;
ATI Mobility Radeon 9550;GPU;2004-06-01;1300;;920;760;2500;TSMC;ATI;;;
ATI Radeon HD 3300 IGP;GPU;2008-08-06;650;;850;1800;5000;Unknown;ATI;;40.0;
AMD Radeon HD 8730M;GPU;2013-04-01;280;;770;9500;6500;TSMC;AMD;;537.6;33.6
NVIDIA GeForce GTX 670MX;GPU;2012-10-01;280;750;2940;35400;6010;TSMC;NVIDIA;;1154.0;48.08
AMD Radeon E8950;GPU;2015-09-29;280;950;3660;50000;7350;TSMC;AMD;4096.0;4096.0;256.0
AMD Radeon R4 Mobile Graphics;GPU;2014-09-17;280;170;2450;24100;5330;GF;AMD;;204.7;12.79
NVIDIA GeForce GTX 1070 Ti;GPU;2017-11-02;160;1800;3140;72000;16070;TSMC;NVIDIA;127.9;8186.0;255.8
NVIDIA GeForce 6200 LE;GPU;2005-04-04;1100;;1100;750;3500;TSMC;NVIDIA;;;
NVIDIA NVS 810;GPU;2015-11-04;280;680;1480;18700;9020;TSMC;NVIDIA;;1058.0;33.06
AMD Radeon Pro 555X;GPU;2018-07-16;140;750;1230;30000;9070;GF;AMD;1393.0;1393.0;87.07
NVIDIA Quadro P5200 Max-Q;GPU;2018-02-21;160;1000;3140;72000;13160;TSMC;NVIDIA;125.5;8032.999999999999;251.0
NVIDIA GeForce RTX 3050 Mobile;GPU;2021-01-01;80;;;;12370;Samsung;NVIDIA;6144.0;6144.0;96.0
AMD Radeon R9 370X;GPU;2015-08-27;280;1800;2120;28000;9800;TSMC;AMD;;2637.0;164.8
AMD Radeon Vega 3 Mobile;GPU;2019-01-06;140;150;2100;49400;3000;GF;AMD;768.8;384.4;24.02
AMD Radeon R7 M265DX;GPU;2014-01-07;280;;560;6900;7800;TSMC;AMD;;547.2;34.2
NVIDIA Quadro FX Go700;GPU;2003-06-25;1300;;1210;800;2950;TSMC;NVIDIA;;;
AMD Radeon HD 7950M;GPU;2012-04-24;280;750;2120;28000;7000;TSMC;AMD;;1792.0;
ATI Mobility Radeon HD 5750;GPU;2010-01-07;400;250;1040;6270;5500;TSMC;ATI;;440.0;
AMD Radeon Vega 8;GPU;2018-02-12;140;650;2100;49400;3000;GF;AMD;2253.0;1126.0;70.4
NVIDIA GRID K1;GPU;2013-03-18;280;1300;1180;12700;8500;TSMC;NVIDIA;;326.4;13.6
NVIDIA GeForce RTX 3050 Max-Q;GPU;2021-01-01;80;;;;7120;Samsung;NVIDIA;4329.0;4329.0;67.65
NVIDIA GeForce G100 OEM;GPU;2009-03-10;650;350;860;2100;5400;TSMC;NVIDIA;;20.8;
AMD Radeon R7 360;GPU;2015-06-18;280;1000;1600;20800;10000;TSMC;AMD;;1613.0;100.8
AMD Radeon R7 M260DX;GPU;2014-10-12;280;;1250;15500;9250;TSMC;AMD;721.9;721.9;45.12
Intel HD Graphics 4200;GPU;2013-09-02;220;40;;;2000;Intel;Intel;;272.0;68.0
NVIDIA GeForce 6200 PCI;GPU;2008-01-16;1100;;1100;750;2800;TSMC;NVIDIA;;;
NVIDIA GeForce MX250;GPU;2019-02-21;140;250;740;18000;15190;Samsung;NVIDIA;18.98;1215.0;37.97
NVIDIA GeForce4 MX 4000 Rev. 2;GPU;2003-12-14;1500;;650;290;2500;TSMC;NVIDIA;;;
NVIDIA GeForce Go 6400;GPU;2006-02-01;1100;;1100;750;4000;TSMC;NVIDIA;;;
NVIDIA Quadro K2100M;GPU;2013-07-23;280;550;2210;25400;6670;TSMC;NVIDIA;;768.4;32.02
NVIDIA GeForce 945M;GPU;2016-04-08;280;230;;;10060;TSMC;NVIDIA;;913.2;28.54
NVIDIA GeForce 6800;GPU;2004-11-08;1300;;2250;2220;3250;TSMC;NVIDIA;;;
NVIDIA Quadro FX 1800M;GPU;2009-06-15;400;450;1440;7270;5610;TSMC;NVIDIA;;162.0;
NVIDIA Tesla K40st;GPU;2013-11-22;280;2450;5610;70800;5750;TSMC;NVIDIA;;3312.0;1104.0
XGI Volari V5 Ultra;GPU;2003-09-15;1300;;;900;3500;UMC;Other;;;
NVIDIA RTX A4000;GPU;2021-04-12;80;1400;3920;174000;7350;Samsung;NVIDIA;19170.0;19170.0;599.0
NVIDIA GeForce GT 130M;GPU;2009-01-08;550;230;1210;3140;6000;TSMC;NVIDIA;;96.0;
AMD Radeon Vega 11 Embedded;GPU;2018-02-13;140;350;2100;49400;3000;GF;AMD;3664.0;1832.0;114.5
NVIDIA GeForce FX 5900 ZT;GPU;2003-05-12;1300;;2070;1350;3250;TSMC;NVIDIA;;;
NVIDIA GeForce RTX 3070 Ti;GPU;2021-01-01;80;2000;3920;174000;15750;Samsung;NVIDIA;21750.0;21750.0;339.8
Intel GMA 3100;GPU;2007-05-09;900;130;;;4000;Intel;Intel;;;
NVIDIA GeForce 8600 GT;GPU;2007-04-17;800;470;1690;2890;5400;TSMC;NVIDIA;;76.16;
Intel Iris Pro Graphics P580;GPU;2015-09-01;140;150;;;3500;Intel;Intel;2304.0;1152.0;288.0
ATI FireGL 9800 X2-256T;GPU;2003-10-01;1500;;2180;1170;4120;TSMC;ATI;;;
NVIDIA GeForce 945A;GPU;2015-03-13;280;330;;;10060;TSMC;NVIDIA;;913.2;28.54
NVIDIA Quadro Plex 2200 S4;GPU;2008-07-25;550;6000;4700;14000;6480;TSMC;NVIDIA;;622.1;77.76
ATI Mobility Radeon X2300;GPU;2007-03-01;800;;1000;1070;4790;UMC;ATI;;;
NVIDIA GeForce RTX 2080 Max-Q;GPU;2019-01-29;120;900;5450;136000;7350;TSMC;NVIDIA;12890.0;6447.0;201.5
AMD Radeon HD 7670 OEM;GPU;2012-01-05;400;660;1180;7160;8000;TSMC;AMD;;768.0;
Matrox Millennium G550 PCIe;GPU;2001-11-26;1800;;;100;1250;UMC;Other;;;
AMD Radeon Pro 5700 XT;GPU;2020-08-04;70;1300;2510;103000;12430;TSMC;AMD;15350.0;7675.0;479.7
NVIDIA GeForce 7300 LE;GPU;2006-03-22;900;;810;1120;4500;TSMC;NVIDIA;;;
ATI FirePro V9800;GPU;2010-09-09;400;2500;3340;21540;8500;TSMC;ATI;;2720.0;544.0
AMD Radeon R5 435 OEM;GPU;2016-06-30;280;500;560;6900;10300;TSMC;AMD;;659.2;41.2
NVIDIA Quadro RTX 4000;GPU;2018-11-13;120;1600;5450;136000;10050;TSMC;NVIDIA;14240.0;7119.0;222.5
NVIDIA GeForce 7950 GT AGP;GPU;2007-04-02;900;650;1960;2780;5000;TSMC;NVIDIA;;;
Intel Iris Plus Graphics 640;GPU;2017-01-03;140;150;;;3000;Intel;Intel;1690.0;844.8;211.2
ATI Radeon X800 XT;GPU;2004-12-01;1300;540;2890;1600;5000;TSMC;ATI;;;
AMD Radeon HD 6350;GPU;2011-02-07;400;190;590;2920;6500;TSMC;AMD;;104.0;
AMD Radeon HD 6870;GPU;2010-10-21;400;1510;2550;17000;9000;TSMC;AMD;;2016.0;
Intel UHD Graphics 600;GPU;2017-12-11;140;50;;;2000;Intel;Intel;249.6;124.8;31.2
ATI Radeon X1700 FSC;GPU;2007-11-05;800;440;1310;3300;5870;TSMC;ATI;;;
NVIDIA GeForce 615;GPU;2012-05-15;400;490;1160;5850;6600;TSMC;NVIDIA;;126.7;10.56
NVIDIA Switch GPU 16nm;GPU;2019-08-16;160;150;1000;20000;3840;TSMC;NVIDIA;786.4;393.2;12.29
ATI FireGL V3100;GPU;2004-09-01;1100;;740;1070;3910;TSMC;ATI;;;
AMD Radeon R9 M270X;GPU;2015-02-05;280;;1600;20800;9000;TSMC;AMD;;1536.0;96.0
ATI Radeon X550 XTX;GPU;2007-01-24;1100;;1560;1200;4000;TSMC;ATI;;;
AMD Radeon RX 560 896SP;GPU;2017-07-04;140;450;1230;30000;10900;GF;AMD;2106.0;2106.0;131.6
AMD Radeon HD 8350G IGP;GPU;2013-03-12;320;350;2460;13030;5140;TSMC;AMD;;184.3;
ATI Radeon X300 LE;GPU;2004-09-01;1100;;740;1070;3250;TSMC;ATI;;;
AMD Radeon HD 8990 OEM;GPU;2013-04-24;280;3750;3650;43130;9500;TSMC;AMD;;4096.0;1024.0
NVIDIA GeForce GTX 560 Ti X2;GPU;2011-01-25;400;1700;3320;19500;8500;TSMC;NVIDIA;;1306.0;108.8
NVIDIA GeForce FX Go5200;GPU;2003-03-01;1500;;910;450;2000;TSMC;NVIDIA;;;
AMD Radeon Pro 5700;GPU;2020-08-04;70;1300;2510;103000;12430;TSMC;AMD;12440.0;6221.0;388.8
AMD Radeon HD 8550G IGP;GPU;2013-05-23;320;350;2460;13030;5150;TSMC;AMD;;337.9;
NVIDIA GeForce 810M;GPU;2015-03-21;280;450;1180;12700;8350;TSMC;NVIDIA;;729.6;30.4
AMD Radeon HD 6550A;GPU;2011-02-07;400;350;1040;6270;5500;TSMC;AMD;;528.0;
AMD Radeon HD 6530;GPU;2011-05-14;400;390;1040;6270;6500;TSMC;AMD;;520.0;
